population,minimum_age,maximum_age,gender,zipcode,geo_id
576,15.0,17.0,female,27537,8600000US27537
4,25.0,29.0,male,23426,8600000US23426
191,85.0,nan,female,60538,8600000US60538
1,18.0,19.0,female,4475,8600000US04475
391,70.0,74.0,male,70506,8600000US70506
70,55.0,59.0,female,31795,8600000US31795
2,10.0,14.0,male,57630,8600000US57630
312,60.0,61.0,female,94043,8600000US94043
127,75.0,79.0,female,34714,8600000US34714
101,5.0,9.0,male,18618,8600000US18618
74,20.0,20.0,female,60404,8600000US60404
18,40.0,44.0,male,68342,8600000US68342
34,50.0,54.0,male,68658,8600000US68658
249,85.0,nan,female,15214,8600000US15214
201,5.0,9.0,female,45810,8600000US45810
41,35.0,39.0,female,93527,8600000US93527
46,50.0,54.0,male,40328,8600000US40328
26,75.0,79.0,female,28902,8600000US28902
12866,nan,nan,female,89134,8600000US89134
16,18.0,19.0,female,76035,8600000US76035
89,25.0,29.0,female,7863,8600000US07863
23,20.0,20.0,female,19333,8600000US19333
19,5.0,9.0,male,77597,8600000US77597
844,30.0,34.0,female,13126,8600000US13126
338,21.0,21.0,male,87114,8600000US87114
27,25.0,29.0,male,62957,8600000US62957
311,62.0,64.0,male,85629,8600000US85629
134,21.0,21.0,male,41005,8600000US41005
30,70.0,74.0,male,42328,8600000US42328
715,35.0,39.0,female,59714,8600000US59714
33,5.0,9.0,male,41045,8600000US41045
112,55.0,59.0,female,3902,8600000US03902
130,0.0,4.0,male,81328,8600000US81328
565,70.0,74.0,male,29464,8600000US29464
2,35.0,39.0,female,73731,8600000US73731
35,67.0,69.0,female,55971,8600000US55971
57,20.0,20.0,female,16002,8600000US16002
261,21.0,21.0,female,7208,8600000US07208
172,45.0,49.0,female,37690,8600000US37690
6,75.0,79.0,female,50848,8600000US50848
204,50.0,54.0,female,3906,8600000US03906
248,20.0,20.0,male,84116,8600000US84116
21,25.0,29.0,male,68872,8600000US68872
82,70.0,74.0,female,28555,8600000US28555
2372,50.0,54.0,female,95035,8600000US95035
3,35.0,39.0,male,58007,8600000US58007
5,65.0,66.0,male,51014,8600000US51014
15,45.0,49.0,female,57432,8600000US57432
1269,0.0,4.0,male,30008,8600000US30008
16,75.0,79.0,male,25109,8600000US25109
696,67.0,69.0,female,37620,8600000US37620
1,35.0,39.0,female,55950,8600000US55950
181,10.0,14.0,male,6255,8600000US06255
333,70.0,74.0,male,53214,8600000US53214
48,75.0,79.0,male,17082,8600000US17082
34,5.0,9.0,female,56016,8600000US56016
61,65.0,66.0,male,78362,8600000US78362
325,25.0,29.0,female,7885,8600000US07885
525,55.0,59.0,female,76015,8600000US76015
21,80.0,84.0,male,4864,8600000US04864
132,21.0,21.0,male,21075,8600000US21075
483,nan,nan,female,48761,8600000US48761
1,22.0,24.0,female,18602,8600000US18602
166,62.0,64.0,female,7874,8600000US07874
21,22.0,24.0,female,29934,8600000US29934
253,50.0,54.0,female,42122,8600000US42122
15,65.0,66.0,male,38342,8600000US38342
8,25.0,29.0,female,79539,8600000US79539
2,15.0,17.0,male,25907,8600000US25907
190,65.0,66.0,male,98664,8600000US98664
3,21.0,21.0,male,37219,8600000US37219
32,0.0,4.0,female,15716,8600000US15716
466,75.0,79.0,female,10705,8600000US10705
19,75.0,79.0,female,31066,8600000US31066
12,20.0,20.0,male,84654,8600000US84654
